Player,G,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PER
Terence Davis,64,5.14,1.69,0.77,0.54,0.15,0.61,4.37,1.84,0.54,0.38,2.92,1.07,0.08
JD Davison,12,2.0,1.0,1.13,0.25,0.25,0.38,2.0,0.88,0.25,0.13,0.75,0.25,0.25
Darius Days,4,2.95,1.16,0.23,0.0,0.23,0.0,2.33,1.01,0.39,0.39,1.94,0.62,0.81
Dewayne Dedmon,38,5.78,3.89,0.78,0.22,0.56,0.78,4.45,2.22,1.44,1.0,1.11,0.33,0.2
Dewayne Dedmon,30,6.9,4.35,0.6,0.24,0.6,0.73,5.2,2.54,1.81,1.33,1.45,0.48,0.29
Dewayne Dedmon,8,3.57,3.17,1.33,0.31,0.61,0.82,2.86,1.63,0.61,0.1,0.31,0.1,0.81
Matthew Dellavedova,32,1.34,0.36,1.16,0.18,0.0,0.27,1.43,0.45,0.18,0.09,0.71,0.27,0.05
DeMar DeRozan,74,12.93,2.43,2.69,0.58,0.26,1.11,9.29,4.7,3.75,3.27,1.0,0.32,0.17
Moussa DiabatÃ©,22,3.32,2.83,0.25,0.37,0.49,0.49,2.58,1.35,0.86,0.61,0.12,0.0,0.25
Mamadi Diakite,22,3.46,1.86,0.53,0.27,0.53,0.67,3.06,1.46,0.13,0.13,1.33,0.4,0.2
Hamidou Diallo,56,7.17,2.7,0.77,0.69,0.23,1.0,5.17,2.93,2.0,1.23,0.31,0.08,0.14
Gorgui Dieng,31,5.36,4.81,2.33,0.14,0.69,1.37,5.22,2.06,0.55,0.41,3.3,0.96,0.27
Ousmane Dieng,39,5.49,3.03,1.35,0.45,0.22,0.78,5.16,2.13,0.67,0.45,2.8,0.78,0.17
Spencer Dinwiddie,79,7.96,1.57,2.99,0.37,0.14,0.83,6.12,2.67,1.93,1.57,2.85,1.06,0.11
Spencer Dinwiddie,53,16.33,2.86,4.89,0.65,0.28,1.57,12.09,5.54,3.6,2.95,5.91,2.4,0.3
Spencer Dinwiddie,26,14.84,3.69,8.18,0.99,0.27,1.89,12.32,4.95,4.23,3.42,5.13,1.53,0.69
Donte DiVincenzo,72,8.23,3.94,3.07,1.14,0.09,1.4,6.57,2.89,0.88,0.7,4.64,1.84,0.16
Luka DonÄiÄ‡,66,38.19,10.14,9.43,1.65,0.59,4.24,25.93,12.85,12.38,9.19,9.67,3.3,0.6
Tyler Dorsey,3,1.68,0.39,0.0,0.0,0.0,0.0,0.95,0.73,0.0,0.0,0.39,0.17,0.62
Luguentz Dort,74,9.24,3.1,1.42,0.67,0.2,0.81,7.96,3.1,2.36,1.82,3.71,1.21,0.11
Ayo Dosunmu,80,4.19,1.36,1.27,0.39,0.15,0.58,3.46,1.71,0.49,0.39,1.17,0.34,0.06
Devon Dotson,6,0.6,2.05,1.57,0.97,0.0,0.6,2.05,0.24,0.0,0.0,0.85,0.24,0.46
Jeff Dowtin,25,2.4,0.9,1.2,0.4,0.1,0.2,2.3,1.0,0.4,0.2,0.6,0.2,0.13
PJ Dozier,16,1.86,1.19,0.8,0.53,0.13,0.4,2.78,0.8,0.0,0.0,1.33,0.13,0.13
Goran DragiÄ‡,58,3.9,0.87,1.61,0.12,0.06,0.68,3.59,1.49,0.5,0.31,1.55,0.56,0.06
Goran DragiÄ‡,51,4.73,1.03,2.0,0.15,0.07,0.81,4.36,1.85,0.59,0.37,1.85,0.67,0.09
Goran DragiÄ‡,7,5.74,1.74,1.74,0.31,0.0,1.03,5.23,2.05,0.62,0.62,2.46,1.03,0.76
Andre Drummond,67,4.51,4.96,0.38,0.53,0.3,0.83,3.08,1.88,1.43,0.75,0.0,0.0,0.12
Chris Duarte,46,8.06,2.55,1.43,0.51,0.2,0.92,7.34,2.75,1.63,1.33,3.88,1.22,0.15
David Duke Jr.,23,4.42,1.55,1.07,0.48,0.0,0.96,4.06,1.91,0.84,0.6,0.6,0.0,0.18
Kris Dunn,22,12.34,4.21,5.24,1.03,0.47,1.5,9.16,4.96,2.24,1.78,1.5,0.75,0.78
Kevin Durant,47,51.83,11.93,8.91,1.25,2.49,5.88,32.6,18.35,12.65,11.58,8.73,3.56,1.18
