Player,G,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PER
Hamidou Diallo,20,11.2,5.4,1.2,0.5,0.6,1.4,8.7,4.1,3.4,2.3,2.1,0.8,0.59
Gorgui Dieng,38,6.8,3.7,1.3,0.7,0.4,0.8,4.3,2.2,1.8,1.5,1.8,0.8,0.26
Gorgui Dieng,22,7.9,4.5,1.3,0.8,0.6,1.0,4.9,2.5,2.0,1.7,2.2,1.0,0.52
Gorgui Dieng,16,5.3,2.6,1.2,0.6,0.1,0.6,3.4,1.8,1.5,1.3,1.4,0.4,0.46
Spencer Dinwiddie,3,6.7,4.3,3.0,0.7,0.3,1.7,5.3,2.0,2.0,2.0,2.3,0.7,3.33
Donte DiVincenzo,66,10.4,5.8,3.1,1.1,0.2,1.4,9.1,3.8,1.1,0.8,5.2,2.0,0.21
Luka DonÄiÄ‡,66,27.7,8.0,8.6,1.0,0.5,4.3,20.5,9.8,7.1,5.2,8.3,2.9,0.44
Luguentz Dort,52,14.0,3.6,1.7,0.9,0.4,1.5,12.3,4.8,3.2,2.3,6.3,2.2,0.21
Damyean Dotson,46,6.7,2.0,2.0,0.3,0.1,0.9,6.4,2.6,0.8,0.5,3.5,1.0,0.13
Devon Dotson,11,2.1,0.5,0.6,0.4,0.0,0.0,1.9,1.0,0.0,0.0,0.6,0.1,0.25
Sekou Doumbouya,56,5.1,2.6,0.8,0.4,0.2,0.8,5.0,1.9,1.1,0.8,2.1,0.5,0.09
PJ Dozier,50,7.7,3.6,1.8,0.6,0.4,0.9,7.1,3.0,1.3,0.8,3.0,0.9,0.17
Goran DragiÄ‡,50,13.4,3.4,4.4,0.7,0.2,2.4,11.1,4.8,2.4,2.0,4.9,1.8,0.26
Andre Drummond,46,14.9,12.0,2.0,1.4,1.1,2.7,12.4,6.1,4.5,2.7,0.2,0.0,0.45
Andre Drummond,25,17.5,13.5,2.6,1.6,1.2,3.2,15.2,7.2,5.2,3.1,0.3,0.0,0.92
Andre Drummond,21,11.9,10.2,1.4,1.1,1.0,2.0,9.1,4.9,3.6,2.2,0.0,0.0,0.86
Jared Dudley,12,0.5,1.8,0.4,0.1,0.1,0.2,0.8,0.2,0.0,0.0,0.5,0.2,0.17
Kris Dunn,4,1.3,1.5,0.5,0.5,0.5,0.8,3.0,0.3,1.0,0.8,0.5,0.0,0.15
Kevin Durant,35,26.9,7.1,5.6,0.7,1.3,3.4,17.2,9.3,6.8,6.0,5.4,2.4,0.84
